Date,TCS.NS,INFY.NS,RELIANCE.NS
2020-01-01,1866.1136474609375,633.1510620117188,675.3241577148438
2020-01-02,1857.5474853515625,631.3036499023438,686.8212280273438
2020-01-03,1894.567138671875,641.013427734375,687.6488037109375
2020-01-06,1894.394775390625,634.8696899414062,671.7006225585938
2020-01-07,1899.043701171875,625.4607543945312,682.0345458984375
2020-01-08,1941.5723876953125,617.1257934570312,676.9122924804688
2020-01-09,1906.3614501953125,625.159912109375,692.5026245117188
2020-01-10,1905.6729736328125,634.2682495117188,692.3460083007812
2020-01-13,1885.699462890625,664.6862182617188,690.5789794921875
2020-01-14,1899.9481201171875,666.4906005859375,684.1819458007812
2020-01-15,1917.166015625,659.5305786132812,681.6990356445312
2020-01-16,1927.4107666015625,659.0582275390625,687.9842529296875
2020-01-17,1910.450927734375,659.7883911132812,707.2652587890625
2020-01-20,1868.4815673828125,660.3038940429688,685.5015258789062
2020-01-21,1869.084228515625,655.1912841796875,686.1949462890625
2020-01-22,1899.9481201171875,661.8076171875,685.9488525390625
2020-01-23,1890.499267578125,673.96630859375,683.0411376953125
2020-01-24,1883.984130859375,672.5916137695312,680.6701049804688
2020-01-27,1871.77490234375,668.5958251953125,673.9597778320312
2020-01-28,1884.2864990234375,668.510009765625,658.3919677734375
2020-01-29,1859.134033203125,678.5634155273438,662.0154418945312
2020-01-30,1844.6812744140625,670.8300170898438,645.8660888671875
2020-01-31,1793.9444580078125,666.74853515625,631.5060424804688
2020-02-03,1814.1788330078125,659.4017333984375,619.8076782226562
2020-02-04,1818.7088623046875,676.9737548828125,638.1044311523438
2020-02-05,1852.1878662109375,674.1382446289062,647.9909057617188
2020-02-06,1836.484375,662.7958374023438,652.1513671875
2020-02-07,1843.5595703125,667.908447265625,641.3478393554688
2020-02-10,1865.4755859375,664.3855590820312,642.2200927734375
2020-02-11,1858.098388671875,664.6862182617188,649.8922119140625
2020-02-12,1873.069580078125,671.1307373046875,657.7432861328125
2020-02-13,1891.362060546875,680.7545776367188,659.465576171875
2020-02-14,1884.6754150390625,675.7708129882812,665.4824829101562
2020-02-17,1901.1121826171875,678.3485107421875,661.2996826171875
2020-02-18,1911.8980712890625,685.3945922851562,656.4458618164062
2020-02-19,1895.15869140625,687.8004760742188,672.7295532226562
2020-02-20,1861.031982421875,684.8359375,664.7443237304688
2020-02-24,1825.266845703125,683.8478393554688,646.4028930664062
2020-02-25,1860.4715576171875,686.0391235351562,633.6309204101562
2020-02-26,1832.3851318359375,672.5916137695312,622.7155151367188
2020-02-27,1816.7669677734375,668.3810424804688,620.1432495117188
2020-02-28,1725.8646240234375,628.7260131835938,594.3756713867188
2020-03-02,1726.8565673828125,636.7601318359375,588.7837524414062
2020-03-03,1756.9705810546875,641.8726196289062,600.7280883789062
2020-03-04,1797.525390625,651.9691162109375,599.3189697265625
2020-03-05,1833.6365966796875,648.403076171875,586.5469970703125
2020-03-06,1826.2156982421875,634.9556884765625,568.5857543945312
2020-03-09,1701.8763427734375,605.310791015625,498.41845703125
2020-03-11,1685.7838134765625,589.4573974609375,516.044189453125
2020-03-12,1527.1456298828125,542.3695068359375,475.5363464355469
2020-03-13,1558.5972900390625,551.9502563476562,494.4593811035156
2020-03-16,1463.7681884765625,501.08172607421875,454.37652587890625
2020-03-17,1430.634033203125,476.850341796875,450.9319152832031
2020-03-18,1427.5279541015625,459.10650634765625,433.261474609375
2020-03-19,1422.269287109375,468.77325439453125,410.5359191894531
2020-03-20,1562.292724609375,502.84332275390625,455.3830871582031
2020-03-23,1451.25634765625,452.3612976074219,395.4825439453125
2020-03-24,1480.330078125,506.7959289550781,422.0329284667969
2020-03-25,1521.3114013671875,520.8877563476562,484.1478576660156
2020-03-26,1556.6431884765625,552.5089721679688,476.96783447265625
2020-03-27,1585.80419921875,560.84375,476.699462890625
2020-03-30,1545.8221435546875,538.5028686523438,460.97503662109375
2020-03-31,1587.19482421875,551.219970703125,498.2395324707031
2020-04-01,1485.197265625,517.96630859375,483.3426513671875
2020-04-03,1437.7838134765625,503.27288818359375,482.0005798339844
2020-04-07,1542.9537353515625,549.07177734375,539.5526123046875
2020-04-08,1482.3292236328125,542.7132568359375,533.3119506835938
2020-04-09,1535.0880126953125,546.7088623046875,545.7484130859375
2020-04-13,1529.0906982421875,547.697021484375,531.969970703125
2020-04-15,1508.1435546875,549.1148071289062,514.388916015625
2020-04-16,1491.5423583984375,536.0538940429688,522.53076171875
2020-04-17,1569.8984375,540.2643432617188,547.5601806640625
2020-04-20,1580.719482421875,561.3593139648438,556.4177856445312
